wavenumber,neuron-1 sub,neuron-2 sub,neuron-3 sub,neuron-4 sub,neuron-5 sub,neuron-6 sub
557,76.379,75.905,-130.35,220.98,191.33,241.57
558,65.779,103.07,-157.32,269.86,236.5,277.74
559,63.395,130.08,-146.91,272.27,263.63,287.23
560,72.69,156.86,-83.364,208.61,265.12,258.78
561,81.984,183.63,-19.822,144.95,266.6,230.34
562,91.279,210.41,43.72,81.288,268.09,201.89
563,94.298,228.63,82.474,31.426,261.61,190.19
564,84.969,230.01,72.465,8.7076,239.45,211.42
565,75.641,231.39,62.455,-14.011,217.3,232.65
566,66.312,232.77,52.445,-36.729,195.14,253.88
567,68.416,232.83,49.563,-28.256,183.07,266.53
568,102.06,229.24,66.35,66.285,198.86,255.5
569,135.71,225.65,83.137,160.83,214.65,244.47
570,169.36,222.06,99.924,255.37,230.43,233.44
571,196.17,218.3,106.7,325.52,235.91,219.36
572,195.29,213.8,72.898,296.88,199.66,192.9
573,194.4,209.31,39.101,268.23,163.4,166.44
574,193.52,204.82,5.3037,239.59,127.14,139.98
575,190.61,200.18,-19.64,211.86,100.35,114.53
576,175.01,194.68,11.19,189.93,133.15,95.395
577,159.41,189.17,42.019,168,165.96,76.259
578,143.81,183.66,72.848,146.07,198.77,57.124
579,129.35,176.54,101.26,125.59,228.05,44.242
580,128.46,150.44,101.07,122.27,215.71,105.29
581,127.56,124.34,100.88,118.96,203.36,166.34
582,126.67,98.234,100.69,115.64,191.01,227.39
583,126.34,73.533,102.43,113.83,179.5,287.27
584,151.23,111.17,190.38,178.62,204.81,295.15
585,176.13,148.8,278.32,243.41,230.13,303.03
586,201.02,186.43,366.27,308.2,255.45,310.91
587,225.92,224.07,454.21,372.99,280.77,318.79
588,217.47,215.24,390.52,351.9,261.49,326.71
589,208.1,205.12,322.63,328.43,240.98,334.64
590,198.73,195,254.73,304.96,220.46,342.57
591,189.36,184.88,186.84,281.49,199.95,350.49
592,163.48,132.46,150.37,241.17,180.5,314.9
593,136.3,76.708,116.38,199.53,161.13,275.88
594,109.12,20.957,82.383,157.89,141.76,236.85
595,81.935,-34.795,48.389,116.24,122.39,197.83
596,85.555,16.872,23.195,138.66,127.26,174.27
597,93.061,82.087,-0.89045,169.16,135.18,152.65
598,100.57,147.3,-24.975,199.66,143.1,131.03
599,108.07,212.52,-49.06,230.16,151.02,109.42
600,114.71,178.51,-16.907,165.9,135.02,132.23
601,121.2,127.27,25.015,85.182,114.87,162.75
602,127.69,76.03,66.938,4.4633,94.713,193.28
603,134.18,24.79,108.86,-76.256,74.561,223.8
604,139.9,40.963,118.77,-91.121,88.402,212.92
605,145.46,71.935,121.65,-91.531,109.71,192.96
606,151.02,102.91,124.53,-91.94,131.01,172.99
607,156.58,133.88,127.41,-92.35,152.31,153.02
608,105.9,118.1,73.85,-75.042,118.24,122.52
609,40.346,89.973,5.3721,-53.052,69.53,89.236
610,-25.204,61.844,-63.106,-31.063,20.823,55.951
611,-90.754,33.715,-131.58,-9.0737,-27.884,22.665
612,2.5801,81.854,-35.722,8.6037,-2.7272,57.572
613,143.64,152.9,109.51,24.986,44.617,112.96
614,284.7,223.96,254.73,41.368,91.961,168.35
615,425.76,295.01,399.96,57.75,139.3,223.75
616,451.22,346.66,446.98,96.522,220.54,262.98
617,438.14,391.85,461.27,142.76,313.08,296.83
618,425.07,437.04,475.55,188.99,405.62,330.68
619,411.99,482.23,489.84,235.23,498.15,364.53
620,409.07,461.95,441.68,252.16,442.31,362.8
621,409.82,418.07,371.01,258.53,332.96,348.26
622,410.56,374.2,300.34,264.9,223.62,333.71
623,411.31,330.32,229.66,271.27,114.27,319.17
624,389.11,291.21,188.98,261.25,108.16,321.41
625,358.24,253.9,159.6,245.05,141,329.99
626,327.38,216.6,130.23,228.86,173.84,338.57
627,296.51,179.29,100.85,212.66,206.69,347.15
628,296.08,163.39,98.328,234.74,226.41,342.28
629,307.42,155.77,106.19,271.62,241.06,332.2
630,318.76,148.16,114.06,308.51,255.71,322.12
631,330.1,140.54,121.93,345.4,270.36,312.03
632,334.18,119.46,150.5,377.53,276.97,325.31
633,335.43,93.117,187.16,407.81,280.43,347.71
634,336.67,66.774,223.82,438.09,283.89,370.11
635,337.92,40.431,260.48,468.37,287.35,392.51
636,344.21,68.963,260.58,416.97,286.22,383.42
637,352.45,118.62,246.59,334.14,283.32,362.21
638,360.68,168.28,232.61,251.3,280.42,341
639,368.92,217.95,218.63,168.46,277.52,319.79
640,343.26,226.16,210.51,164.55,253.39,323.41
641,305.07,219.06,204.57,189.83,221.4,336.22
642,266.87,211.95,198.62,215.11,189.41,349.03
643,228.67,204.84,192.67,240.39,157.42,361.84
644,243.04,210.69,175.83,252.96,147.09,344.94
645,275.68,221.04,155.2,261.12,144.28,317.71
646,308.32,231.39,134.56,269.28,141.48,290.48
647,340.96,241.74,113.93,277.44,138.67,263.26
648,325.41,233.89,129.86,268.9,115.53,222.32
649,294.39,220.2,157.53,255,85.853,176.98
650,263.37,206.5,185.21,241.1,56.179,131.63
651,232.35,192.8,212.88,227.2,26.504,86.294
652,266.69,206.33,202.74,277.73,55.744,106.07
653,319.69,227.62,181.81,346.65,101.8,144.42
654,372.69,248.91,160.88,415.56,147.85,182.78
655,425.69,270.2,139.95,484.48,193.9,221.13
656,422.62,287.65,167.33,494,182.17,205.56
657,405.96,304.17,206.41,489.14,156.45,176.92
658,389.31,320.69,245.5,484.28,130.73,148.28
659,372.65,337.21,284.58,479.42,105.01,119.65
660,351.18,359.23,296.01,494.43,96.901,131.36
661,328.75,382.35,301.94,513.39,92.299,151.1
662,306.32,405.47,307.86,532.36,87.698,170.84
663,283.89,428.59,313.79,551.32,83.097,190.58
664,260.41,377.09,304.84,534.11,95.899,229.48
665,236.77,314.34,293.65,511.44,111.32,271.27
666,213.14,251.58,282.46,488.77,126.75,313.06
667,189.5,188.83,271.27,466.1,142.17,354.85
668,182.91,185.23,223.71,405.37,125.96,301.28
669,178.08,187.69,172.43,340.74,106.51,237.93
670,173.24,190.16,121.14,276.11,87.049,174.58
671,168.4,192.62,69.858,211.47,67.592,111.23
672,192.43,184.28,118.59,214.22,76.166,117.22
673,218.01,175.35,172.71,220.6,86.247,126.93
674,243.59,166.42,226.82,226.97,96.327,136.64
675,269.18,157.49,280.93,233.35,106.41,146.35
676,245.05,181.1,263.27,198.33,51.059,86.788
677,220.87,204.74,245.54,163.26,-4.3549,27.156
678,196.69,228.38,227.8,128.2,-59.769,-32.475
679,173.63,247.88,211.61,96.143,-111.16,-88.639
680,171.31,190.16,224.12,119.94,-87.759,-80.286
681,168.99,132.44,236.63,143.73,-64.355,-71.934
682,166.67,74.717,249.15,167.53,-40.951,-63.582
683,164.49,25.665,265.43,189.79,-14.988,-50.724
684,163.51,49.716,313.55,199.12,32.549,0.14043
685,162.53,73.767,361.67,208.45,80.087,51.004
686,161.55,97.817,409.78,217.79,127.62,101.87
687,161.26,113.86,441.07,219.16,166.15,141.02
688,164.48,89.393,387.21,180.28,159.04,120.9
689,167.69,64.923,333.35,141.39,151.94,100.79
690,170.9,40.454,279.48,102.51,144.84,80.672
691,164.82,22.993,231.73,71.882,135.49,64.617
692,127.8,28.864,204.31,68.752,118.66,62.08
693,90.789,34.736,176.9,65.622,101.83,59.543
694,53.774,40.607,149.48,62.492,84.996,57.006
695,22.575,46.053,121.98,49.47,60.459,60.456
696,4.9484,50.506,94.275,13.366,17.947,77.874
697,-12.679,54.96,66.572,-22.738,-24.566,95.292
698,-30.305,59.413,38.869,-58.842,-67.079,112.71
699,-19.91,65.385,42.016,-77.449,-83.237,117.01
700,37.388,73.898,96.799,-66.771,-55.285,99.338
701,94.687,82.41,151.58,-56.092,-27.333,81.67
702,151.99,90.923,206.37,-45.413,0.61964,64.002
703,185.01,96.389,254.03,-36.2,37.593,45.52
704,188.6,98.162,293.06,-28.766,85.503,26.049
705,192.19,99.935,332.08,-21.332,133.41,6.5789
706,195.78,101.71,371.11,-13.898,181.32,-12.892
707,205.82,119.84,351.53,-2.0756,195.94,-9.2166
708,221.47,152.18,281.01,13.561,181.61,14.575
