organ,day,group,treatment,sample_name,baseline_2300_2600,denominator_2930,1260,1300,1442,1580,1655,2142,2180
Ovary,D10,2_RAPA,RAPA,D10_RAPA_5,340.19235964912286,2638.744640350877,0.17155606246562832,0.22333522969184083,0.21308527992921303,0.12797056417932703,0.16363259776946892,0.03443593554349934,0.03887516767717117
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_1,200.87280701754386,3444.0001929824557,0.16498756130741915,0.22350004351070527,0.2510215286119934,0.07138710197618987,0.16373901317761302,0.0386281026503804,0.04639639489801566
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_2,381.6872719298246,5810.135728070176,0.16869446325236295,0.20122313536012704,0.22263399490321714,0.07603931280567826,0.17710545436981687,0.03733556980814742,0.030184101762528934
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_3,889.6971190842886,5581.291746461941,0.19600299188967882,0.22273157136136967,0.23618544609343342,0.10128764210795341,0.21352474213002287,0.020178871083273958,0.03594807727617069
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_4,814.1552192982457,4264.935780701755,0.1455275794562209,0.1941829427887623,0.21800721710955437,0.055084248106333375,0.163210846890459,0.033976779054316966,0.033483219453836005
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_5,952.2425000000001,3092.1934999999994,0.1954691709946354,0.218537261655844,0.24500585102452355,0.08003493313080184,0.18217731199551393,0.04923317379717658,0.03732609230308517
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_6,476.56930701754385,4133.1556929824565,0.1847679472319596,0.20925262855471316,0.2280646467257233,0.07386842298266938,0.1822519520039898,0.03338700577303461,0.04322742868985229
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_7,936.0362368421052,3785.0327631578944,0.20961344664714548,0.25426616449019823,0.28123343436261017,0.12794308357686815,0.2182836490082527,0.035814422658998785,0.04184898072737958
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_8,1242.974162280702,4956.433837719298,0.19500872388605406,0.23306088117799637,0.2610745709691005,0.10814062192060539,0.1971447354513515,0.03527795254496051,0.03955259852908794
Ovary,D10,4_CTRL,CTRL,rapa_D10_CTRL_9,271.0446052631579,3319.4333947368423,0.16323339868664488,0.22696686607160257,0.24319132175292213,0.06421258371226939,0.14556441936836886,0.04351206292189893,0.03559896545121378
